id,canonical_name,provenance_class,status,evidence,notes
W3-291,camera-switch,project-extension,validated,"Freedesktop Stage B and pinned KDE Breeze 235730e69d90949621e4fee77fcc459772b7a8f0 Stage C","Retain a distinct switch-camera action. Breeze provides camera-photo, camera-video and camera-web, but no camera-specific switch action; generic exchange/reverse actions would weaken the intended semantic meaning."
W3-395,ac-adapter,project-extension,validated,"Freedesktop Stage B and pinned KDE Breeze 235730e69d90949621e4fee77fcc459772b7a8f0 Stage C","Retain a distinct AC-adapter / mains-power status concept. Breeze provides battery charging states and a generic charging asset, but no canonical AC-adapter, mains-power, charger or power-supply status name; renaming to charging would weaken the intended semantic meaning."
W3-407,bluetooth-disabled,project-extension,validated,"Freedesktop Stage B and pinned KDE Breeze 235730e69d90949621e4fee77fcc459772b7a8f0 Stage C","Retain a distinct disabled Bluetooth status concept. Breeze provides network-bluetooth-inactive-symbolic, but that asset represents inactivity through reduced opacity rather than an explicit disabled/off state; renaming to inactive-symbolic would weaken the intended slashed Bluetooth semantic meaning."
W3-408,bluetooth-paired,project-extension,validated,"Freedesktop Stage B and pinned KDE Breeze 235730e69d90949621e4fee77fcc459772b7a8f0 Stage C","Retain a distinct paired Bluetooth status concept. Breeze provides activated and activated-locked Bluetooth status icons, but no canonical paired, connected, trusted or linked Bluetooth status name; activated-locked explicitly depicts a padlock and would change the intended linked-device semantic meaning."
W3-418,screen-brightness-medium,project-extension,validated,Freedesktop Stage B and pinned KDE Breeze 235730e69d90949621e4fee77fcc459772b7a8f0 Stage C,"Retain a distinct medium screen-brightness status concept. Breeze provides brightness-high and brightness-low level assets plus a generic video-display-brightness device icon, but no medium-brightness canonical; renaming to the generic display-brightness asset would discard the intended level distinction."
W3-427,weather-rain,project-extension,validated,Freedesktop Stage B and pinned KDE Breeze 235730e69d90949621e4fee77fcc459772b7a8f0 Stage C,"Retain a distinct generic rain weather state. Breeze provides shower, freezing-rain and snow-rain variants but no canonical plain rain status; mapping generic heavy rain to weather-showers would collapse the separately defined shower state W3-426."
W3-431,weather-windy,project-extension,validated,Freedesktop Stage B and pinned KDE Breeze 235730e69d90949621e4fee77fcc459772b7a8f0 Stage C,"Retain a distinct generic windy weather state. Breeze provides weather-clear-wind, weather-clouds-wind, weather-few-clouds-wind, weather-many-clouds-wind and weather-overcast-wind variants, but no canonical generic wind status; mapping W3-431 to any combined Breeze weather condition would add clear-sky or cloud-cover semantics not present in the intended generic windy state."
W3-434,cpu-usage-low,project-extension,validated,Freedesktop Stage B and pinned KDE Breeze 235730e69d90949621e4fee77fcc459772b7a8f0 Stage C,"Retain the distinct low CPU usage level. Breeze provides generic CPU and system-monitor assets but no canonical low, medium or high CPU usage status family; mapping this state to a generic hardware icon would discard the intended utilization level."
W3-435,cpu-usage-medium,project-extension,validated,Freedesktop Stage B and pinned KDE Breeze 235730e69d90949621e4fee77fcc459772b7a8f0 Stage C,"Retain the distinct medium CPU usage level. Breeze provides generic CPU and system-monitor assets but no canonical low, medium or high CPU usage status family; mapping this state to a generic hardware icon would discard the intended utilization level."
W3-436,cpu-usage-high,project-extension,validated,Freedesktop Stage B and pinned KDE Breeze 235730e69d90949621e4fee77fcc459772b7a8f0 Stage C,"Retain the distinct high CPU usage level. Breeze provides generic CPU and system-monitor assets but no canonical low, medium or high CPU usage status family; mapping this state to a generic hardware icon would discard the intended utilization level."
